Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,116.120003,117.220001,115.900002,116.750000,105.123161,1826200
2020-01-14,116.750000,118.180000,116.690002,117.269997,105.591377,2598600
2020-01-15,117.510002,118.699997,117.269997,117.930000,106.185669,3168400
2020-01-16,118.510002,119.110001,118.099998,118.610001,106.797935,2426800
2020-01-17,118.739998,119.239998,118.169998,118.599998,106.788933,3403400
2020-01-21,118.209999,118.540001,116.750000,117.389999,105.699432,2960700
2020-01-22,117.790001,119.239998,117.250000,117.260002,105.582375,2425300
2020-01-23,117.029999,117.120003,115.550003,116.930000,105.285248,2493700
2020-01-24,117.040001,117.110001,115.930000,116.660004,105.042130,2015400
2020-01-27,114.949997,115.449997,113.349998,114.919998,103.475418,2903800
